,name,min._precip,min_temp,frost_free
1,Sassafras_albidum,30,-27,160
2,Magnolia_fraseri,35,-16,160
3,Magnolia_acuminata,40,-13,150
4,Platanus_occidentalis,30,-35,100
5,Liquidambar_styraciflua,40,-21,180
6,Tilia_americana,21,-46,80
7,Tilia_heterophylla,35,-21,165
8,Aesculus_glabra,30,-33,145
9,Aesculus_octandra,39,-18,150
10,Acer_nigrum,24,-47,130
11,Acer_pensylvanicum,24,-47,90
12,Acer_negundo,15,-46,100
13,Acer_macrophyllum,22,-14,140
14,Acer_saccharinum,20,-47,120
15,Acer_rubrum,25,-47,80
16,Acer_saccharum,22,-47,80
17,Ailanthus_altissima,14,-18,150
18,Populus_heterophylla,35,-23,180
19,Populus_deltoides,18,-43,100
20,Populus_trichocarpa,10,-53,70
21,Populus_balsamifera,6,-79,75
22,Populus_grandidentata,20,-43,90
23,Populus_tremuloides,7,-70,70
24,Fagus_grandifolia,28,-44,92
25,Quercus_prinus,32,-30,120
26,Quercus_phellos,40,-23,180
27,Quercus_nuttallii,40,-18,110
28,Quercus_laurifolia,40,-3,220
29,Quercus_velutina,30,-30,140
30,Quercus_rubra,30,-35,100
31,Quercus_bicolor,36,-28,120
32,Quercus_michauxii,40,-20,180
33,Quercus_lyrata,36,-23,180
34,Quercus_garryana,10,-33,63
35,Quercus_stellata,22,-33,165
36,Quercus_macrocarpa,15,-38,100
37,Quercus_alba,30,-43,145
38,Carya_illinoensis,28,-21,180
39,Carya_laciniosa,30,-22,170
40,Carya_aquatica,35,-18,200
41,Carya_ovata,29,-40,140
42,Carya_cordiformis,25,-47,120
43,Carya_glabra,30,-30,140
44,Carya_myristiciformis,40,-10,240
45,Carya_tomentosa,NA,NA,NA
46,Juglans_cinerea,25,-33,105
47,Juglans_nigra,30,-28,170
48,Alnus_rubra,24,-22,180
49,Ostrya_virginiana,18,-38,100
50,Carpinus_caroliniana,23,-34,80
51,Betula_alleghaniensis,25,-47,60
52,Betula_lenta,29,-26,90
53,Betula_nigra,30,-31,150
54,Ulmus_serotina,40,-21,180
55,Ulmus_thomasii,22,-46,120
56,Ulmus_americana,15,-46,80
57,Ulmus_alata,40,-18,180
58,Ulmus_crassifolia,20,-10,220
59,Ulmus_rubra,21,-43,90
60,Celtis_occidentalis,14,-47,120
61,Celtis_laevigata,20,-21,150
62,Morus_rubra,35,-33,140
63,Maclura_pomifera,24,-23,180
64,Prunus_serotina,21,-43,120
65,Prunus_pensylvanica,16,-38,90
66,Cercis_canadensis,20,-28,170
67,Gleditsia_triacanthos,20,-36,150
68,Robinia_pseudoacacia,16,-37,140
69,Cornus_florida,28,-28,160
70,Nyssa_sylvatica,40,-18,140
71,Nyssa_ogeche,45,-8,270
72,Nyssa_aquatica,40,-23,60
73,Diospyros_virginiana,30,-21,200
74,Gordonia_lasianthus,44,-4,230
75,Halesia_carolina,40,-10,160
76,Oxydendrum_arboreum,30,-13,150
77,Fraxinus_profunda,36,-24,180
78,Fraxinus_latifolia,20,-8,180
79,Fraxinus_pennsylvanica,15,-47,120
80,Fraxinus_americana,28,-34,90
81,Fraxinus_nigra,20,-47,80
82,Paulownia_tomentosa,30,-8,180
