s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
20151;14.6167;47.7333;530;108;10;60;1926;152
20155;13.65;48;430;108;10;60;1926;130
20529;13.5728;48.2631;475;108;10;60;1926;129
20535;13.8811;48.2853;393;108;10;60;1926;140
20536;14.6217;48.3317;489;108;10;60;1926;130
20537;14.3406;47.9214;360;108;10;60;1926;130
20539;13.4603;48.2758;398;108;10;60;1926;141
20540;13.2747;48.2089;400;108;10;60;1926;140
20150;13.4833;47.8;477;108;10;60;1927;130
14;9.83333;54.4667;5;108;10;60;1951;107
45;10.5667;54.1667;55;108;10;60;1951;140
93;10.6167;53.6;35;108;10;60;1951;128
104;10.6167;53.6667;30;108;10;60;1951;130
142;11.1;54.5;6;108;10;60;1951;148
158;10.7833;54.0833;25;108;10;60;1951;118
163;9.75;53.7667;8;108;10;60;1951;128
167;9.85;53.6333;10;108;10;60;1951;133
182;10.3833;54.3333;45;108;10;60;1951;126
185;10.1833;54.3667;12;108;10;60;1951;128
197;10.1667;54.2667;50;108;10;60;1951;117
200;10.6;54.3333;10;108;10;60;1951;129
202;10.05;54.1667;35;108;10;60;1951;119
207;9.91667;54.25;35;108;10;60;1951;129
244;9.56667;54.5167;18;108;10;60;1951;133
307;9.28333;54.15;35;108;10;60;1951;140
336;9.76667;53.5833;15;108;10;60;1951;134
363;8.83333;52.75;55;108;10;60;1951;135
375;9.21667;52.7833;20;108;10;60;1951;135
382;8.5;52.8667;40;108;10;60;1951;122
401;9.25;52.1333;80;108;10;60;1951;127
404;9.56667;52.0833;160;108;10;60;1951;123
417;9.8;52.3;60;108;10;60;1951;123
427;9.45;52.4;50;108;10;60;1951;130
434;9.13333;52.7167;50;108;10;60;1951;121
480;9.93333;51.5333;150;108;10;60;1951;126
481;9.95;51.5333;190;108;10;60;1951;126
484;9.81667;51.9833;90;108;10;60;1951;164
491;9.78333;51.9833;160;108;10;60;1951;118
519;10.1167;51.95;130;108;10;60;1951;123
531;9.73333;51.95;200;108;10;60;1951;141
553;10;51.7167;130;108;10;60;1951;126
556;9.63333;51.6667;170;108;10;60;1951;118
564;10.4667;51.6333;300;108;10;60;1951;130
568;10.55;51.6;340;108;10;60;1951;145
569;10.0667;51.8167;240;108;10;60;1951;118
603;9.75;52.5333;50;108;10;60;1951;138
625;10.3833;52.8;100;108;10;60;1951;116
629;9.93333;52.8167;65;108;10;60;1951;128
642;9.6;52.8667;35;108;10;60;1951;140
684;10.0167;53.3;30;108;10;60;1951;136
721;11.0833;52.9333;20;108;10;60;1951;135
723;11.15;52.9667;18;108;10;60;1951;122
724;10.9333;52.8667;60;108;10;60;1951;136
732;11.2;53.1167;20;108;10;60;1951;128
736;10.9;52.9;40;108;10;60;1951;134
744;10.2833;53.2333;40;108;10;60;1951;132
769;10.5833;53.0833;30;108;10;60;1951;122
772;10.2833;53.0167;75;108;10;60;1951;128
779;10.5833;53.0667;25;108;10;60;1951;124
951;7.3;52.5;25;108;10;60;1951;129
987;8.36667;52.3167;65;108;10;60;1951;132
989;8.26667;52.3333;65;108;10;60;1951;128
1074;9.85;51.9;200;108;10;60;1951;136
1080;10;51.8167;120;108;10;60;1951;130
1082;10.1667;51.8833;200;108;10;60;1951;132
1084;10.3167;51.9167;270;108;10;60;1951;130
1087;10.5;52.0333;110;108;10;60;1951;141
1123;10.5667;51.8833;280;108;10;60;1951;133
1129;8.2;53.15;5;108;10;60;1951;133
1143;7.93333;53.15;8;108;10;60;1951;134
1166;7.9;53.5833;3;108;10;60;1951;145
1192;8.11667;52.65;25;108;10;60;1951;132
1197;8.28333;52.7333;35;108;10;60;1951;120
1216;8.93333;53.0833;3;108;10;60;1951;126
1230;6.73333;51.3;30;108;10;60;1951;122
1243;7.06667;51.15;180;108;10;60;1951;140
1297;7.15;51.15;150;108;10;60;1951;108
1310;6.98333;51.4167;140;108;10;60;1951;133
1318;6.31667;51.5167;25;108;10;60;1951;122
1338;7.08333;50.7333;60;108;10;60;1951;122
1439;6.08333;50.7667;180;108;10;60;1951;127
1446;6.31667;50.7667;200;108;10;60;1951;130
1504;6.15;51.1167;45;108;10;60;1951;123
1505;6.61667;51.85;25;108;10;60;1951;131
1539;7.3;51.8333;65;108;10;60;1951;132
1575;7.8;52.2;60;108;10;60;1951;120
1577;7.73333;52.1333;50;108;10;60;1951;144
1586;7.6;52.25;40;108;10;60;1951;130
1595;7.83333;52.0333;50;108;10;60;1951;124
1607;7.15;51.7;50;108;10;60;1951;136
1609;7.38333;51.6333;50;108;10;60;1951;118
1616;8.51667;51.9833;150;108;10;60;1951;130
1624;8.86667;51.5167;410;108;10;60;1951;130
1637;8.93333;51.8333;330;108;10;60;1951;116
1661;9.25;51.9667;100;108;10;60;1951;113
1713;9.3;51.5833;230;108;10;60;1951;123
1731;7.7;51.3833;280;108;10;60;1951;133
1755;8;51.3333;280;108;10;60;1951;137
1793;8.38333;51.3667;290;108;10;60;1951;147
1802;8.43333;51.1833;590;108;10;60;1951;140
1826;7.98333;51.0167;330;108;10;60;1951;132
1847;8.41667;50.9333;320;108;10;60;1951;144
1848;8.41667;51.0167;430;108;10;60;1951;145
1849;8.46667;51.1167;500;108;10;60;1951;135
1877;7.3;51.2833;240;108;10;60;1951;136
1886;7.53333;51.4167;110;108;10;60;1951;126
1893;7.85;51.5833;85;108;10;60;1951;120
1904;9.26667;50.75;260;108;10;60;1951;117
1913;9.26667;50.65;370;108;10;60;1951;129
1918;8.45;49.6833;90;108;10;60;1951;117
1923;8.76667;49.7167;420;108;10;60;1951;135
1924;8.46667;49.6;90;108;10;60;1951;118
1937;9.1;50.2667;150;108;10;60;1951;93
1940;9.11667;50.5167;300;108;10;60;1951;124
1943;8.56667;49.8667;95;108;10;60;1951;116
